Time Stamp,Filter,HFD,Temp,Pos,Time,Ra,Dec,Pointing
00:19:32.325 =>,,,,,,,,00° 00' 02"
00:20:34.102 =>,,,,,,,,00° 00' 01"
00:23:58.685 =>,V,6.68,6.5,33784,03:24,,,
00:24:57.302 =>,,,,,,,,00° 00' 01"
00:26:20.648 =>,,,,,,0.78,0.48,
00:27:07.334 =>,,,,,,0.66,0.66,
00:27:54.182 =>,,,,,,0.70,0.27,
00:28:40.877 =>,,,,,,0.55,0.17,
00:29:27.448 =>,,,,,,0.44,0.41,
00:30:14.615 =>,,,,,,0.89,0.52,
00:31:01.170 =>,,,,,,0.50,0.33,
00:31:48.094 =>,,,,,,0.45,0.37,
00:32:34.649 =>,,,,,,0.50,0.33,
00:33:21.381 =>,,,,,,0.43,0.37,
00:34:08.393 =>,,,,,,0.57,0.48,
00:34:54.893 =>,,,,,,0.69,0.23,
00:35:41.762 =>,,,,,,0.55,0.37,
00:36:28.722 =>,,,,,,0.65,0.67,
00:37:15.456 =>,,,,,,0.60,0.45,
00:38:02.081 =>,,,,,,0.85,0.40,
00:38:49.746 =>,,,,,,0.58,1.03,
00:39:36.278 =>,,,,,,0.64,0.50,
00:40:22.853 =>,,,,,,0.54,0.64,
00:41:09.463 =>,,,,,,0.37,0.46,
00:42:14.148 =>,,,,,,,,00° 00' 02"
00:44:11.272 =>,R,6.43,6.4,33734,01:57,,,
00:45:11.183 =>,,,,,,,,00° 00' 01"
00:46:30.357 =>,,,,,,0.71,0.41,
00:47:17.127 =>,,,,,,0.52,0.63,
00:48:04.149 =>,,,,,,0.80,0.42,
00:48:50.898 =>,,,,,,0.80,0.45,
00:49:37.781 =>,,,,,,0.46,0.41,
00:50:24.388 =>,,,,,,0.44,0.23,
00:51:11.370 =>,,,,,,0.38,0.30,
00:51:58.431 =>,,,,,,0.52,0.33,
00:52:45.282 =>,,,,,,0.46,0.72,
00:53:31.877 =>,,,,,,0.54,0.25,
00:54:18.474 =>,,,,,,0.84,0.40,
00:55:05.420 =>,,,,,,0.35,0.67,
00:55:52.322 =>,,,,,,0.41,0.32,
00:56:39.108 =>,,,,,,0.76,0.67,
00:57:25.735 =>,,,,,,0.80,0.59,
00:58:12.154 =>,,,,,,0.47,0.21,
00:58:58.720 =>,,,,,,0.53,0.53,
00:59:45.782 =>,,,,,,0.43,0.49,
01:00:32.706 =>,,,,,,0.53,0.46,
01:01:19.256 =>,,,,,,0.65,0.53,
01:02:22.541 =>,,,,,,,,00° 00' 02"
01:05:08.235 =>,SR,7.88,6.2,33698,02:45,,,
01:06:06.526 =>,,,,,,,,00° 00' 02"
01:07:15.769 =>,,,,,,0.58,0.57,
01:07:52.590 =>,,,,,,0.54,0.45,
01:08:29.256 =>,,,,,,0.78,0.52,
01:09:05.933 =>,,,,,,0.96,0.71,
01:09:42.869 =>,,,,,,0.62,0.55,
01:10:19.535 =>,,,,,,0.54,0.36,
01:10:56.757 =>,,,,,,0.45,0.46,
01:11:33.893 =>,,,,,,0.60,0.82,
01:12:10.899 =>,,,,,,0.66,0.41,
01:12:47.786 =>,,,,,,0.35,0.75,
01:13:24.881 =>,,,,,,0.95,0.27,
01:14:01.817 =>,,,,,,0.49,0.39,
01:14:38.412 =>,,,,,,0.66,0.46,
01:15:15.354 =>,,,,,,0.42,0.57,
01:15:52.189 =>,,,,,,0.85,0.50,
01:16:29.193 =>,,,,,,0.43,0.46,
01:17:06.084 =>,,,,,,0.72,0.37,
01:17:42.923 =>,,,,,,1.34,0.50,
01:18:19.699 =>,,,,,,0.99,0.42,
01:18:57.257 =>,,,,,,0.64,0.43,
01:19:34.048 =>,,,,,,0.62,0.50,
01:20:10.764 =>,,,,,,0.96,0.65,
01:20:47.952 =>,,,,,,0.58,0.39,
01:21:24.757 =>,,,,,,0.58,0.45,
01:22:01.933 =>,,,,,,0.75,0.47,
01:22:38.847 =>,,,,,,0.70,0.74,
01:23:15.348 =>,,,,,,0.51,1.05,
01:23:52.005 =>,,,,,,0.21,0.53,
01:24:29.075 =>,,,,,,1.25,0.38,
01:25:05.781 =>,,,,,,0.49,0.52,
01:26:08.818 =>,,,,,,,,00° 00' 02"
01:29:44.598 =>,,,,,,,,00° 00' 02"
01:32:21.888 =>,V,7.92,5.9,33661,02:37,,,
01:33:20.065 =>,,,,,,,,00° 00' 01"
01:34:36.221 =>,,,,,,0.96,0.78,
01:35:23.052 =>,,,,,,0.70,0.65,
01:36:09.935 =>,,,,,,0.69,0.62,
01:36:56.866 =>,,,,,,0.95,0.64,
01:37:43.510 =>,,,,,,0.67,0.45,
01:38:30.167 =>,,,,,,0.82,0.54,
01:39:17.427 =>,,,,,,1.53,1.19,
01:40:44.809 =>,,,,,,,,00° 00' 01"
